sampno,sequence,d16_vehtype,veh_year,veh_make,veh_model,d16_vehfueltype,veh_make_oth,d18_how_acquired,d18_replacement,d18_year_acquired,d18_season_acquired,d18_annual_mileage,d18_mpg,d18_replace_time,d18_dispose,d18_currentuse,pevowner
125,1,9,2007,REDACTED,REDACTED,1,REDACTED,1,1,2007,2,10000,15,5,-1,6,0
125,2,11,2008,,,1,,1,2,2008,1,1000,12,5,-1,5,0
125,3,9,2009,,,1,,1,1,2009,1,10000,15,6,2,6,0
125,4,10,2011,,,1,,1,1,2011,1,10000,22,5,-1,6,0
125,5,9,2013,,,4,,1,1,2013,1,12000,16,2,1,6,0
126,1,11,2008,,,5,,3,1,2013,2,25000,250,1,2,2,0
126,2,2,2008,,,1,,3,1,2010,1,10000,100,1,2,2,0
126,3,8,2005,,,1,,3,1,2006,1,20000,25,2,2,2,0
127,1,11,2015,,,1,,1,1,2015,2,5000,20,3,2,6,0
128,1,2,2017,,,1,,2,1,2015,1,10000,25,2,1,1,0
128,2,2,2017,,,2,,1,1,2015,1,10000,30,2,1,1,0
128,3,2,2017,,,1,,1,1,2013,2,10000,22,1,1,1,0
128,4,3,2017,,,5,,3,1,2012,4,10000,25,1,4,3,0
128,5,4,2017,,,5,,3,1,2010,5,10000,20,1,3,1,0
130,1,3,2008,,,1,,3,1,2004,1,15000,21,3,2,4,0
130,2,11,2008,,,1,,1,1,2008,3,8000,14,4,2,4,0
132,1,10,2001,,,1,,3,1,2001,3,10000,17,2,1,1,0
133,1,8,2010,,,1,,1,1,2010,3,12000,23,2,1,2,0
134,1,10,2007,,,1,,3,2,2015,2,10000,18,3,2,6,0
135,1,9,2013,,,1,,1,1,2013,5,12666,20,5,-1,6,0
135,2,11,2015,,,1,,1,1,2015,5,12000,20,2,1,4,0
135,3,13,2012,,,1,,1,1,2012,5,23500,20,1,1,4,0
135,4,13,2016,,,1,,1,1,2016,4,25000,25,2,1,4,0
136,1,12,2016,,,1,,1,2,2016,3,15000,21,4,4,4,0
136,2,12,2016,,,1,,1,2,2016,4,15000,20,4,4,4,0
136,3,13,2008,,,1,,1,1,2008,5,15000,13,4,4,4,0
136,4,13,2006,,,1,,1,1,2006,5,15000,13,4,4,4,0
136,5,13,2005,,,1,,1,1,2005,5,15000,13,3,4,4,0
139,1,8,2012,,,1,,1,1,2012,2,20000,19,3,7,3,0
140,1,3,2015,,,1,,2,1,2014,3,10000,28,2,1,1,0
140,2,2,2013,,,1,,3,2,2014,1,15000,30,2,2,2,0
140,3,2,2016,,,1,,1,2,2015,3,25000,36,2,2,3,0
140,4,2,2011,,,1,,3,2,2013,2,7500,25,3,2,5,0
141,1,11,1989,,,1,,1,2,1998,4,6000,12,5,-1,2,0
142,1,8,1999,,,1,,2,2,2007,4,20000,25,2,4,5,0
142,2,8,2002,,,1,,3,2,2012,3,15000,25,2,1,5,0
142,3,9,2015,,,1,,3,1,2015,3,6000,25,3,1,2,0
142,4,2,2014,,,1,,1,1,2014,3,10000,30,3,1,2,0
142,5,8,2015,,,1,,3,1,2016,3,5000,30,4,1,1,0
143,1,10,2006,,,1,,1,1,2006,5,11000,12,1,2,2,0
143,2,12,1999,,,1,,3,1,2002,5,8000,12,2,2,2,0
144,1,11,2013,,,1,,1,1,2013,1,10000,20,2,3,2,0
147,1,11,2017,,,5,,1,1,2016,1,50000,20,4,1,2,0
147,2,11,2004,,,5,,1,1,2004,2,50000,20,2,1,5,0
147,3,11,2012,,,5,,3,2,2014,2,50000,25,4,1,2,0
147,4,11,2003,,,5,,3,2,2013,3,30000,25,4,1,2,0
147,5,11,2005,,,5,,3,2,2015,4,30000,15,2,2,2,0
148,1,2,2012,,,3,,1,2,2014,1,15000,65,3,2,3,1
148,2,2,2006,,,2,,1,2,2005,2,15000,49,2,2,3,1
148,3,3,2011,,,1,,3,1,2014,4,10000,18,3,2,3,1
148,4,8,2007,,,1,,3,2,2016,3,15000,18,2,2,2,1
150,1,7,2009,,,1,,3,1,2012,1,8000,24,1,2,3,0
153,1,9,2014,,,1,,1,1,2014,1,25000,28,3,1,3,0
153,2,11,2015,,,1,,1,2,2015,1,30000,15,4,1,5,0
153,3,11,2013,,,1,,1,1,2013,1,45000,16,3,1,5,0
153,4,11,2008,,,1,,1,1,2008,1,25000,15,2,1,5,0
153,5,11,2002,,,1,,1,1,2002,1,5000,16,5,-1,6,0
155,1,2,2014,,,2,,1,1,2014,3,30000,50,4,2,2,1
155,2,11,2015,,,1,,1,1,2014,1,60000,24,4,2,1,1
155,3,3,2014,,,3,,1,2,2014,2,1000,75,4,2,2,1
157,1,11,2010,,,1,,1,1,2010,3,2800,19,4,1,1,0
159,1,10,1990,,,1,,3,1,2012,2,5000,15,2,2,1,0
160,1,9,2004,,,1,,1,1,2004,3,20000,19,1,1,4,0
161,1,3,2008,,,1,,3,2,2015,2,8000,20,2,2,2,0
161,2,3,2008,,,1,,3,2,2014,1,5000,20,2,2,2,0
161,3,1,2010,,,2,,3,2,2015,2,8000,30,2,2,2,0
161,4,11,2010,,,1,,3,2,2015,2,3000,18,1,2,1,0
161,5,3,2010,,,1,,3,2,2015,2,3000,20,2,2,2,0
162,1,11,2013,,,1,,1,1,2013,1,12000,17,4,1,2,0
162,2,11,2013,,,1,,1,1,2013,1,15000,17,4,1,2,0
163,1,1,2012,,,1,,1,2,2011,4,10000,32,4,3,1,0
163,2,11,2003,,,1,,1,2,2003,2,2500,17,5,-1,1,0
163,3,5,2008,,,1,,1,1,2007,4,1500,20,3,2,2,0
164,1,13,2007,,,1,,1,1,2007,1,10000,20,3,2,5,0
168,1,5,2016,,,1,,2,1,2016,1,15000,20,1,1,3,0
169,1,11,2014,,,1,,1,2,2014,5,6000,16,1,1,5,0
169,2,2,2012,,,1,,2,2,2012,5,10000,26,5,-1,2,0
169,3,1,2015,,,1,,4,2,2016,2,5000,30,1,1,2,0
169,4,2,2000,,,1,,3,2,2014,5,5000,18,5,-1,6,0
171,1,12,2017,,,1,,1,1,2016,1,16000,20,4,1,2,0
172,1,9,2004,,,1,,1,2,2004,1,5000,10,2,1,2,0
173,1,13,2012,,,1,,3,2,2015,1,15000,13,4,1,5,0
173,2,12,2000,,,1,,3,1,2013,3,18000,14,2,2,1,0
175,1,2,2015,,,2,,1,2,2014,1,20000,32,5,-1,4,0
175,2,2,2012,,,2,,1,2,2010,2,40000,32,5,-1,3,0
175,3,3,2015,,,1,,1,2,2014,1,25000,25,5,-1,2,0
175,4,9,2010,,,1,,3,2,2010,3,70000,15,5,-1,2,0
177,1,4,2016,,,1,,2,2,2015,1,12000,25,2,6,2,0
178,1,7,2016,,,1,,2,1,2016,4,15000,25,2,1,3,0
180,1,10,2011,,,1,,1,1,2010,4,20000,30,2,1,4,0
180,2,12,2015,,,1,,1,1,2015,2,20000,30,3,1,4,0
181,1,8,2016,,,1,,2,1,2016,2,8000,30,2,2,6,0
183,1,12,2015,,,1,,1,2,2015,2,8000,25,3,1,1,0
186,1,3,1992,,,1,,3,2,2015,1,20000,20,2,2,1,0
186,2,10,2000,,,1,,3,1,2014,3,20000,18,3,2,1,0
186,3,10,1997,,,1,,4,2,2010,5,10000,18,2,7,1,0
186,4,10,1989,,,1,,3,2,2013,5,15000,19,5,-1,1,0
186,5,10,1995,,,1,,3,1,2013,2,15000,19,3,2,1,0
188,1,6,2016,,,4,,2,1,2016,3,10000,35,4,1,2,0
188,2,10,2005,,,1,,1,2,2006,3,20000,28,2,1,1,0
188,3,2,2012,,,1,,2,2,2012,4,5000,27,6,3,6,0
188,4,2,2009,,,5,,2,2,2009,4,7000,25,1,6,2,0
188,5,1,2007,,,1,,3,2,2015,4,5000,32,3,2,2,0
189,1,12,2016,,,1,,1,1,2005,4,60000,20,1,1,1,0
189,2,3,2017,,,1,,2,1,2014,3,18000,15,1,1,3,0
190,1,13,2009,,,1,,3,1,2013,5,15000,10,3,2,2,1
190,2,2,2015,,,3,,1,2,2015,1,15000,30,2,2,1,1
190,3,11,2017,,,1,,1,2,2016,1,5000,15,2,1,6,1
190,4,11,2008,,,1,,1,2,2008,1,13000,15,4,2,5,1
194,1,13,2005,,,1,,1,1,2005,4,7500,20,5,-1,6,0
194,2,11,2001,,,1,,3,1,2004,4,25000,20,3,2,1,0
195,1,13,2005,,,1,,3,2,2010,5,4000,12,4,1,4,0
195,2,11,2007,,,1,,3,2,2010,5,4000,18,4,1,4,0
195,3,11,2005,,,1,,3,2,2011,5,4000,18,4,1,4,0
195,4,12,2013,,,1,,3,2,2015,1,4000,20,4,1,4,0
195,5,13,1999,,,1,,3,2,2004,5,2000,12,2,1,4,0
196,1,11,1999,,,5,,3,1,2014,3,20000,22,5,-1,5,0
197,1,11,2017,,,1,,1,1,2005,1,30000,15,3,1,2,0
197,2,9,2017,,,1,,1,2,2016,2,15000,15,4,1,2,0
197,3,11,2017,,,1,,1,1,2016,1,30000,10,4,1,2,0
197,4,9,2017,,,1,,1,1,2016,1,30000,10,4,1,2,0
197,5,9,2017,,,1,,1,1,2016,1,30000,10,3,1,2,0
202,1,8,2010,,,1,,1,1,2010,5,12000,27,4,1,6,0
203,1,11,2011,,,1,,3,1,2016,3,15000,20,3,1,1,0
203,2,11,2013,,,1,,1,2,2012,1,20000,20,3,1,4,0
206,1,4,2011,,,1,,1,1,2011,4,9000,18,5,-1,2,0
206,2,11,2001,,,1,,2,2,2001,1,3000,12,5,-1,1,0
206,3,8,2015,,,1,,1,2,2015,2,6000,17,4,2,2,0
208,1,11,2008,,,1,,1,1,2008,3,20000,12,3,2,5,0
208,2,11,2008,,,1,,1,1,2008,3,20000,15,3,2,1,0
209,1,3,2015,,,1,,2,2,2015,1,10000,30,2,1,2,0
210,1,2,2012,,,1,,2,1,2012,3,10000,30,3,2,2,0
212,1,9,2008,,,1,,1,1,2008,3,10000,32,4,1,2,0
212,2,8,2004,,,1,,3,1,2005,4,8000,25,4,1,2,0
214,1,11,1998,,,1,,1,2,1998,1,25000,10,2,1,1,0
214,2,11,2006,,,1,,1,2,2006,1,35000,8,3,1,5,0
214,3,11,2015,,,5,,1,2,2016,2,20000,23,4,1,3,0
216,1,3,2014,,,2,,1,1,2014,2,20000,47,4,2,3,0
220,1,3,2014,,,1,,2,1,2014,3,12000,21,2,1,3,0
220,2,3,2016,,,1,,2,2,2016,4,5000,24,2,1,2,0
221,1,13,2009,,,1,,1,2,2009,1,10000,18,2,1,1,0
221,2,9,2014,,,1,,1,2,2013,4,20000,18,4,1,5,0
222,1,9,2010,,,1,,1,2,2010,5,12000,18,4,1,2,0
223,1,2,2008,,,2,,1,2,2008,4,17500,40,1,1,1,0
224,1,11,2014,,,1,,1,1,2014,3,25000,18,5,-1,1,1
224,2,10,2010,,,1,,1,2,2010,4,25000,14,5,-1,1,1
224,3,3,2015,,,9,,2,1,2015,2,12000,89,2,6,2,1
224,4,9,2016,,,1,,2,1,2015,1,12000,20,2,6,2,1
224,5,3,2015,,,1,,2,1,2015,2,12000,24,2,6,2,1
225,1,9,2010,,,2,,1,1,2010,4,18000,40,2,1,3,0
226,1,2,2011,,,1,,3,2,2015,2,30000,24,2,2,1,0
226,2,11,2011,,,4,,1,1,2012,3,45000,18,2,2,4,0
226,3,11,2016,,,4,,1,2,2015,4,32000,18,3,2,5,0
229,1,13,2001,,,1,,1,1,2001,4,10000,15,2,7,4,0
229,2,11,2005,,,1,,1,1,2005,1,10000,9,4,1,1,0
230,1,11,2006,,,5,,1,1,2006,3,22000,17,2,1,6,0
232,1,3,2016,,,1,,2,1,2016,4,2000,18,2,1,2,0
233,1,3,2010,,,1,,3,1,2012,2,25000,20,4,1,2,0
233,2,3,2013,,,1,,3,1,2015,4,12000,20,4,1,2,0
233,3,8,2008,,,1,,2,1,2008,1,12000,18,2,1,2,0
233,4,12,2013,,,1,,3,1,2014,3,12000,18,4,1,2,0
236,1,9,2015,,,1,,2,1,2015,2,10000,20,2,6,3,1
236,2,5,2013,,,9,,3,1,2016,3,8000,100,2,2,3,1
236,3,3,2015,,,1,,2,2,2015,1,4000,20,1,6,3,1
237,1,11,2007,,,1,,1,1,2007,2,7000,17,3,2,3,0
239,1,2,2011,,,1,,3,1,2016,3,12000,32,2,1,2,0
241,1,2,2006,,,1,,3,1,1990,5,5000,28,4,1,2,0
242,1,11,2013,,,1,,3,1,2014,1,12000,16,2,1,4,0
247,1,11,2003,,,5,,1,1,2003,5,40000,13,4,4,5,0
247,2,11,2000,,,5,,1,1,2000,5,40000,13,4,4,5,0
247,3,11,2006,,,1,,1,1,2006,5,40000,14,4,4,5,0
247,4,11,2001,,,5,,1,1,2001,5,41000,12,4,4,5,0
247,5,11,2005,,,1,,1,1,2005,5,41000,12,4,4,5,0
251,1,8,2008,,,2,,1,1,2008,1,8000,27,3,1,2,0
252,1,8,2010,,,1,,3,1,2013,1,30,25,1,1,6,0
254,1,13,2016,,,1,,1,2,2016,2,15000,25,5,-1,1,0
258,1,13,2016,,,1,,2,2,2016,4,15000,21,3,1,1,0
259,1,11,2009,,,5,,1,1,2009,4,3000,14,4,2,6,0
259,2,11,2001,,,5,,1,1,2001,4,15000,12,3,2,5,0
261,1,10,1994,,,1,,3,1,1999,5,5000,20,3,2,5,0
261,2,11,2007,,,1,,3,1,2008,5,8000,15,5,-1,5,0
262,1,9,2012,,,1,,1,1,2012,1,25000,18,2,7,3,0
264,1,2,2006,,,1,,3,2,2014,1,50000,32,2,2,6,0
265,1,3,2017,,,1,,1,2,2016,5,35000,20,5,-1,2,0
265,2,3,2017,,,1,,1,2,2016,5,3000,25,5,-1,2,0
265,3,3,2006,,,1,,1,2,2006,5,3000,25,5,-1,2,0
265,4,4,2016,,,1,,1,2,2016,5,2000,25,5,-1,2,0
267,1,4,2013,,,1,,1,2,2012,4,25000,22,3,2,2,0
267,2,9,2015,,,1,,1,2,2014,4,25000,25,3,2,2,0
268,1,11,2013,,,1,,3,1,2014,1,12000,20,3,1,6,0
271,1,13,2013,,,1,,2,2,2013,4,20000,20,2,1,1,0
282,1,3,2016,,,1,,1,1,2016,1,45000,28,2,1,3,0
283,1,11,2011,,,4,,1,1,2011,2,5000,17,2,1,4,0
283,2,11,2004,,,5,,1,1,2004,4,10,14,4,2,6,0
284,1,7,2012,,,1,,3,1,2015,2,30000,22,2,4,1,0
284,2,11,2010,,,1,,3,1,2013,2,40000,15,2,4,4,0
284,3,9,2016,,,1,,1,1,2016,3,25000,22,3,4,4,0
284,4,11,1996,,,1,,3,1,1997,2,40000,15,5,-1,4,0
287,1,4,2014,,,1,,2,1,2014,3,15000,27,1,1,1,0
287,2,11,2011,,,1,,1,1,2011,2,20000,21,2,1,5,0
287,3,9,2016,,,1,,2,1,2016,2,15000,28,2,1,6,0
287,4,11,2015,,,1,,1,1,2015,2,20000,20,3,1,5,0
290,1,1,2008,,,1,,1,2,2008,2,10000,40,3,2,2,0
290,2,3,2004,,,1,,3,1,2014,2,15000,26,5,-1,5,0
290,3,4,2002,,,1,,3,1,2011,4,2000,19,3,1,3,0
291,1,8,2008,,,2,,1,1,2008,5,10000,20,3,2,2,0
291,2,13,2000,,,1,,2,1,2000,5,12000,13,3,2,4,0
291,3,13,2000,,,1,,2,1,2000,5,12000,13,3,2,4,0
291,4,11,2004,,,1,,3,1,2010,4,8000,10,4,2,4,0
292,1,10,2005,,,1,,3,1,2012,5,5000,15,1,2,1,0
292,2,11,2014,,,1,,2,2,2014,5,15000,20,1,6,1,0
292,3,13,2000,,,5,,3,2,2012,5,2500,13,3,2,1,0
298,1,13,1992,,,1,,3,2,1992,5,5000,10,2,4,6,0
298,2,11,1967,,,1,,3,2,1978,2,100,10,6,4,6,0
298,3,11,2002,,,5,,1,1,2002,2,10000,15,4,2,1,0
300,1,8,2010,,,1,,3,1,2015,3,10000,28,3,4,5,0
301,1,4,2000,,,1,,3,2,2011,1,2500,20,2,2,2,0
302,1,11,2006,,,1,,3,2,2014,3,10000,12,2,2,2,0
302,2,11,2002,,,1,,1,1,2001,5,18000,12,1,2,2,0
303,1,3,2005,,,1,,1,2,2001,3,12000,24,1,2,4,0
303,2,8,2016,,,2,,2,1,2016,4,10000,30,2,6,4,0
304,1,11,2000,,,1,,3,1,2000,5,15000,12,3,1,1,0
305,1,11,2011,,,5,,1,1,2011,2,6000,11,2,1,5,0
305,2,2,2012,,,5,,1,1,2012,2,12000,35,1,2,6,0
305,3,2,2012,,,5,,1,1,2012,2,14000,35,1,2,6,0
306,1,8,2008,,,1,,1,1,2007,1,12000,22,2,2,6,0
312,1,2,2009,,,1,,3,2,2011,3,11000,24,5,-1,5,0
312,2,8,2003,,,1,,4,2,2016,2,9000,24,1,2,5,0
314,1,3,2002,,,1,,1,1,2002,5,10000,25,3,1,2,0
317,1,5,1998,,,1,,3,2,2003,1,5000,18,2,2,3,0
318,1,3,2015,,,9,,2,2,2015,2,12000,100,2,6,3,1
319,1,3,2016,,,2,,2,1,2015,1,12000,24,2,1,3,0
321,1,11,2014,,,1,,3,1,2016,3,20000,20,4,1,3,0
328,1,9,2005,,,1,,3,1,2014,2,20000,17,1,1,3,0
328,2,11,1999,,,1,,3,1,2010,4,15000,10,2,1,5,0
328,3,9,2006,,,1,,3,2,2009,1,15000,17,2,1,6,0
331,1,1,2014,,,1,,2,2,2014,4,5000,38,1,1,6,0
331,2,9,2004,,,1,,3,2,2016,4,8000,19,4,2,5,0
332,1,13,2008,,,1,,1,1,2008,5,15000,26,3,4,5,0
336,1,12,2014,,,1,,1,2,2014,2,12000,23,3,2,5,0
337,1,2,2016,,,1,,2,2,2016,2,12000,33,3,1,3,0
337,2,3,2008,,,1,,1,1,2008,1,16000,27,2,2,3,0
337,3,4,2005,,,1,,2,2,2005,3,11000,25,5,-1,3,0
338,1,4,2007,,,1,,1,1,2007,2,19000,30,2,2,6,0
340,1,8,2013,,,1,,1,2,2013,2,20000,27,2,1,2,0
343,1,13,2006,,,1,,3,1,2013,2,20000,12,1,2,4,0
343,2,13,2003,,,1,,3,1,2011,3,20000,12,1,2,4,0
343,3,11,2004,,,1,,3,2,2012,4,5000,14,2,2,1,0
346,1,10,2003,,,1,,3,1,2015,3,30000,16,2,5,1,1
346,2,10,1981,,,5,,3,1,2011,2,10000,50,5,-1,1,1
346,3,2,2011,,,3,,3,1,2014,1,4000,200,5,-1,1,1
346,4,2,2012,,,2,,3,2,2014,1,20000,100,4,2,3,1
348,1,11,2007,,,1,,1,1,2007,1,12000,18,1,1,6,0
348,2,10,2007,,,1,,1,1,2007,1,12000,20,2,1,6,0
348,3,10,2011,,,1,,1,1,2010,1,12000,21,3,1,6,0
348,4,11,2011,,,1,,1,1,2011,1,12000,20,3,1,6,0
349,1,11,2007,,,5,,1,2,2010,1,20000,12,2,2,5,0
349,2,11,2008,,,5,,1,2,2008,2,20000,12,2,2,5,0
349,3,11,2012,,,1,,1,2,2012,4,25000,12,2,2,3,0
349,4,7,2013,,,1,,1,2,2013,2,15000,18,3,2,2,0
349,5,11,2014,,,5,,1,2,2014,1,20000,12,3,2,4,0
350,1,4,2013,,,2,,2,1,2013,4,17000,41,1,1,3,0
350,2,3,2014,,,4,,2,1,2014,2,22000,27,2,1,3,0
351,1,2,2001,,,1,,1,1,2001,5,12000,55,3,2,4,0
351,2,2,2001,,,1,,3,1,2002,5,12000,55,2,2,4,0
351,3,2,2003,,,1,,1,2,2003,5,20000,55,2,2,4,0
351,4,13,1999,,,1,,3,2,2001,5,12000,40,3,2,4,0
351,5,13,2002,,,1,,1,1,2002,5,12000,40,4,2,4,0
352,1,10,2012,,,1,,1,1,2012,5,8000,23,3,1,1,1
352,2,11,2000,,,1,,1,1,2000,5,5000,14,1,5,5,1
352,3,9,2017,,,3,,2,1,2016,4,15000,40,3,6,2,1
353,1,9,2009,,,1,,1,1,2009,4,25000,17,1,2,3,0
353,2,9,2000,,,1,,1,1,2000,4,25000,15,1,3,3,0
354,1,11,2005,,,5,,1,1,2004,1,20000,17,2,2,4,0
354,2,11,2002,,,1,,1,1,2002,4,30000,14,1,2,4,0
354,3,11,2014,,,1,,1,1,2014,1,15000,14,4,2,4,0
354,4,13,2005,,,5,,1,1,2005,2,25000,20,3,2,1,0
354,5,13,2009,,,1,,1,1,2009,3,25000,14,3,2,1,0
357,1,13,2007,,,1,,3,2,2012,3,15000,15,3,2,4,0
358,1,11,2016,,,1,,1,2,2003,2,6000,30,1,2,2,0
358,2,4,2003,,,1,,1,1,2003,2,6000,18,1,2,2,0
358,3,13,2014,,,1,,1,1,2003,2,6000,18,1,2,2,0
358,4,4,2003,,,1,,1,1,2003,2,6000,18,1,2,2,0
358,5,4,2014,,,1,,1,1,2003,2,6000,18,1,2,2,0
361,1,8,2012,,,4,,1,2,2010,3,12000,15,2,3,1,0
361,2,11,2010,,,4,,1,2,2010,3,12500,13,2,1,1,0
362,1,3,2014,,,9,,2,1,2014,3,15000,126,1,1,3,1
363,1,3,2014,,,3,,1,1,2014,4,16000,80,2,2,3,1
363,2,13,2014,,,5,,3,1,2015,4,5000,19,4,2,5,1
365,1,13,2006,,,1,,3,1,2006,5,500,12,5,-1,1,0
367,1,2,2010,,,1,,1,2,2009,1,12000,24,1,1,1,0
367,2,11,2007,,,1,,1,1,2007,1,12000,17,3,2,5,0
367,3,11,2005,,,5,,1,1,2004,1,18000,16,1,2,5,0
368,1,2,2014,,,1,,2,2,2013,2,12000,20,3,2,3,0
368,2,10,2010,,,1,,1,1,2010,2,10000,20,3,2,2,0
369,1,2,2009,,,1,,1,1,2009,5,25000,24,3,2,6,0
371,1,11,2008,,,1,,2,1,2007,4,20000,17,2,2,5,0
372,1,11,2010,,,1,,1,1,2010,1,8000,18,2,1,5,0
372,2,8,2016,,,1,,1,1,2016,2,15000,28,4,2,6,0
374,1,11,2007,,,1,,1,1,2006,4,32760,17,4,2,3,0
375,1,10,2007,,,1,,1,1,2007,4,18000,17,2,1,4,0
375,2,11,2003,,,1,,3,1,2006,3,23000,13,2,1,6,0
375,3,11,2012,,,1,,1,1,2012,1,15000,15,3,1,3,0
375,4,10,2002,,,1,,3,2,2006,4,23000,16,6,7,4,0
375,5,11,2000,,,1,,3,1,2004,5,23000,14,6,5,3,0
379,1,8,2015,,,1,,2,1,2015,2,12000,21,1,6,2,0
381,1,2,2000,,,1,,3,2,2010,5,23560,200,5,-1,6,0
381,2,7,2009,,,1,,3,2,2014,5,15000,32,4,2,6,0
381,3,12,1990,,,1,,3,2,2015,5,12000,35,5,-1,6,0
381,4,2,1964,,,1,,3,2,2014,5,500,15,5,-1,6,0
381,5,2,1990,,,1,,3,2,2009,5,500,22,5,-1,6,0
383,1,3,2013,,,2,,1,1,2013,1,7000,40,2,1,6,0
385,1,9,2013,,,5,,2,2,2013,2,15000,45,1,1,2,0
388,1,2,2015,,,1,,2,2,2015,5,7000,22,2,1,2,0
389,1,2,2013,,,2,,1,1,2013,1,25000,35,3,2,1,0
389,2,2,2010,,,2,,1,1,2010,2,35000,33,1,2,1,0
389,3,2,2007,,,1,,1,2,2007,1,0,20,6,2,1,0
389,4,13,2015,,,1,,3,2,2015,2,6000,18,4,2,5,0
394,1,2,2014,,,1,,2,2,2014,3,10000,25,1,6,2,0
395,1,10,2000,,,1,,1,1,2000,2,3500,20,2,1,1,0
396,1,9,2014,,,1,,3,1,2015,1,30000,15,2,2,2,0
396,2,9,2014,,,1,,3,1,2016,3,15000,15,3,2,2,0
396,3,13,1990,,,1,,3,1,1993,1,10000,15,2,2,5,0
396,4,11,2015,,,5,,1,1,2015,2,25000,20,3,2,5,0
401,1,11,2000,,,1,,1,1,2000,5,4000,29,1,1,6,0
402,1,10,2004,,,1,,3,2,2008,2,3000,15,2,1,1,0
402,2,8,2006,,,1,,3,1,2008,3,7000,14,2,1,3,0
403,1,2,2015,,,1,,3,1,2016,4,50000,23,3,2,2,0
403,2,11,2005,,,1,,3,2,2005,3,60000,12,5,-1,4,0
403,3,11,2005,,,1,,3,2,2005,5,40000,11,5,-1,4,0
404,1,8,2014,,,4,,2,1,2014,2,5000,19,1,6,4,0
405,1,3,2015,,,1,,1,2,2014,3,12000,20,4,2,2,0
405,2,4,2006,,,1,,1,1,2006,3,12000,20,4,2,2,0
405,3,4,2008,,,1,,1,1,2008,5,12000,20,4,2,2,0
406,1,13,2008,,,1,,3,2,2012,5,12000,20,4,5,1,0
406,2,10,2013,,,1,,3,1,2015,5,10000,20,4,7,1,0
406,3,10,2001,,,1,,3,1,2006,5,10000,20,1,7,1,0
411,1,12,2014,,,1,,1,1,2014,4,14000,21,2,1,4,0
415,1,11,2010,,,1,,1,1,2010,3,2500,14,2,2,5,0
416,1,8,2017,,,5,,1,2,2016,1,15000,37,4,1,2,0
416,2,11,2006,,,1,,1,1,2006,1,15000,13,5,-1,1,0
416,3,8,2013,,,1,,1,2,2013,1,20000,20,4,1,5,0
417,1,8,2015,,,1,,1,1,2015,1,10000,20,2,2,3,0
417,2,12,2004,,,1,,1,2,2004,2,6000,16,2,2,1,0
418,1,8,2013,,,1,,2,2,2013,3,10000,15,1,6,2,0
422,1,8,2015,,,5,,2,1,2015,4,12000,25,2,1,5,0
422,2,9,2014,,,1,,2,1,2015,4,10000,25,2,1,5,0
424,1,3,2016,,,9,,1,1,2016,2,12000,89,4,1,2,1
424,2,4,2012,,,1,,1,1,2012,5,7000,32,4,1,4,1
425,1,10,2006,,,1,,4,1,2007,1,5000,30,5,-1,1,0
425,2,13,1996,,,1,,1,2,1997,3,10000,17,4,2,2,0
427,1,11,2007,,,1,,1,1,2007,5,10000,15,4,2,5,0
427,2,11,2008,,,1,,3,1,2015,1,10000,12,5,-1,4,0
427,3,11,2008,,,1,,3,1,2015,1,10000,12,5,-1,4,0
427,4,11,2017,,,1,,1,1,2016,4,18000,18,4,2,3,0
433,1,11,1999,,,1,,1,1,1999,2,2000,15,1,1,1,0
436,1,9,2016,,,1,,2,2,2016,1,25000,15,3,6,4,0
436,2,9,2002,,,1,,3,2,2002,3,25000,15,1,1,2,0
438,1,10,2001,,,1,,3,1,2003,5,5000,15,4,5,2,0
438,2,10,2001,,,1,,3,1,2002,5,5000,15,4,5,2,0
438,3,10,2001,,,1,,3,2,2015,5,7500,15,4,5,3,0
438,4,13,2006,,,1,,3,1,2015,5,5000,12,4,5,4,0
438,5,13,2006,,,1,,3,1,2014,5,5000,12,4,5,3,0
439,1,4,2015,,,9,,2,1,2015,3,12000,101,2,6,3,1
439,2,5,2005,,,1,,3,2,2009,2,4000,16,2,2,3,1
440,1,13,2006,,,1,,1,1,2006,1,8000,14,2,1,1,0
440,2,8,2016,,,1,,1,1,2016,1,60000,28,5,-1,3,0
442,1,9,2009,,,1,,3,1,2011,1,12000,15,2,2,2,0
444,1,12,2006,,,1,,1,1,2006,4,10500,22,1,4,5,0
445,1,11,2016,,,5,,1,1,2016,1,75000,14,4,1,3,0
445,2,11,2004,,,5,,1,2,2004,2,15000,15,2,1,5,0
445,3,11,2000,,,1,,1,2,2000,3,5000,15,2,2,5,0
446,1,4,2010,,,1,,1,1,2010,2,5500,18,2,1,6,0
446,2,3,2016,,,1,,2,1,2016,2,5500,20,2,1,6,0
447,1,3,2015,,,1,,2,1,2014,4,12000,16,2,6,2,0
447,2,9,2013,,,1,,3,1,2014,4,15000,14,3,1,2,0
448,1,4,2000,,,1,,3,1,2003,4,22000,24,6,1,2,0
448,2,7,2007,,,1,,3,1,2009,4,22000,19,2,1,2,0
451,1,11,1998,,,1,,3,1,2013,3,25000,10,4,4,4,0
453,1,11,2005,,,1,,1,2,2005,5,12500,15,5,-1,5,0
453,2,11,2004,,,1,,1,2,2004,5,12000,15,5,-1,5,0
453,3,11,2002,,,1,,3,1,2005,5,10000,20,3,1,3,0
453,4,10,2000,,,1,,3,2,2009,5,7000,25,5,-1,3,0
