sampno,sequence,age,gender,ethnicity,ethnic_oth,education,drivingfreq,transitfreq,employment,commutework,worktransport,worktransport_oth,commutedist,weeklycommute,workdays,workvehicle,enrolled,schooltransport,schoolcommute,pevowner,age_nrel_agebin
156,1,REDACTED,2,4,-1,7,1,0,4,-1,-1,-1,-1,-1,-1,-1,2,1,15,0,6
156,2,,1,6,-1,8,1,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,7
158,1,,1,6,-1,4,2,10,5,2,-1,-1,-1,-1,-1,-1,4,-1,-1,0,3
158,2,,4,8,-1,1,5,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,2
159,1,,1,6,-1,8,1,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,7
159,2,,1,6,-1,2,1,0,1,1,1,-1,5,50,5,2,4,-1,-1,0,3
164,1,,1,4,-1,1,1,0,1,1,1,-1,28,140,5,1,4,-1,-1,0,4
164,2,,2,4,-1,2,1,0,2,1,1,-1,2,12,6,2,4,-1,-1,0,4
164,3,,1,4,-1,1,5,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,2
165,1,,1,6,-1,8,1,0,1,1,1,-1,7,70,5,2,4,-1,-1,0,3
166,1,,1,6,-1,7,1,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,7
166,2,,2,6,-1,7,1,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,6
167,1,,1,2,-1,4,2,2,1,1,7,-1,4,0,5,3,4,-1,-1,0,3
168,1,,2,6,-1,7,2,0,1,1,2,-1,5,20,5,2,4,-1,-1,0,4
168,2,,1,6,-1,8,1,0,1,1,2,-1,5,50,5,2,4,-1,-1,0,5
169,1,,1,2,-1,4,1,0,1,1,1,-1,60,600,5,2,4,-1,-1,0,5
169,2,,2,2,-1,4,2,0,2,2,-1,-1,-1,-1,-1,-1,4,-1,-1,0,5
172,1,,2,2,-1,6,1,0,5,2,-1,-1,-1,-1,-1,-1,4,-1,-1,0,4
172,2,,1,2,-1,7,3,10,1,1,3,-1,120,0,5,1,4,-1,-1,0,4
174,1,,1,7,mixed,3,1,50,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,7
174,2,,2,2,-1,2,2,25,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,6
176,1,,1,6,-1,5,1,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,7
176,2,,2,6,-1,2,1,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,6
179,1,,1,6,-1,6,2,0,1,1,7,-1,1,4,5,2,4,-1,-1,0,4
179,2,,2,6,-1,8,1,0,2,1,1,-1,12,60,5,2,4,-1,-1,0,4
180,1,,2,6,-1,6,2,2,2,1,9,-1,7,0,2,3,4,-1,-1,0,6
182,1,,1,6,-1,6,1,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,7
182,2,,2,6,-1,8,1,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,6
184,1,,1,6,-1,5,1,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,7
184,2,,2,6,-1,4,2,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,7
185,1,,1,4,-1,2,1,1,1,1,1,-1,15,75,5,2,4,-1,-1,0,2
185,2,,2,4,-1,2,1,1,2,1,1,-1,3,9,3,2,4,-1,-1,0,2
187,1,,1,6,-1,8,1,0,5,2,-1,-1,-1,-1,-1,-1,4,-1,-1,0,6
188,1,,2,6,-1,8,1,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,7
188,2,,1,6,-1,8,1,0,5,1,1,-1,2,20,5,2,4,-1,-1,0,7
191,1,,2,6,-1,1,1,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,4
191,2,,1,6,-1,1,4,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,5
192,1,,1,6,-1,4,2,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,8
194,1,,1,6,-1,7,1,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,7
194,2,,2,4,-1,2,1,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,7
195,1,,1,8,-1,6,1,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,6
195,2,,2,8,-1,2,2,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,6
195,3,,2,8,-1,4,1,0,1,1,1,-1,5,150,7,2,3,-1,-1,0,2
197,1,,1,4,-1,5,1,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,7
197,2,,2,6,-1,2,1,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,6
199,1,,2,6,-1,6,1,0,2,1,1,-1,7,70,5,2,4,-1,-1,0,4
199,2,,1,6,-1,3,1,0,1,1,1,-1,7,84,6,2,4,-1,-1,0,4
200,1,,4,8,-1,8,1,0,1,1,1,-1,50,500,5,2,4,-1,-1,0,6
202,1,,1,6,-1,6,1,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,6
202,2,,2,6,-1,6,1,0,1,1,1,-1,30,240,4,2,4,-1,-1,0,5
202,3,,1,6,-1,2,1,0,2,1,1,-1,2,33,6,2,4,-1,-1,0,2
203,1,,1,6,-1,8,1,0,1,1,2,-1,4,40,5,2,4,-1,-1,0,5
203,2,,2,6,-1,8,1,0,1,1,1,-1,50,500,5,2,2,1,5,0,5
204,1,,2,4,-1,4,1,2,1,1,1,-1,5,50,5,2,4,-1,-1,0,3
208,1,,1,8,-1,6,1,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,7
208,2,,2,7,dutch,8,1,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,6
209,1,,2,8,-1,2,2,0,5,1,1,-1,1,10,5,2,4,-1,-1,0,4
209,2,,2,8,-1,2,5,0,4,-1,-1,-1,-1,-1,-1,-1,1,4,5,0,2
209,3,,1,8,-1,3,1,0,1,1,1,-1,1,10,5,2,4,-1,-1,0,5
211,1,,2,4,-1,2,2,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,3
211,2,,1,4,-1,1,1,0,1,2,-1,-1,-1,-1,-1,-1,4,-1,-1,0,3
212,1,,1,8,-1,5,2,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,4
212,2,,2,8,-1,5,3,2,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,4
214,1,,2,4,-1,4,5,0,5,1,1,-1,10,40,4,1,4,-1,-1,0,4
216,1,,1,2,-1,6,1,2,1,1,1,-1,12,60,5,2,4,-1,-1,0,5
216,2,,2,2,-1,6,1,1,1,1,1,-1,12,60,6,2,2,1,10,0,4
217,1,,1,6,-1,8,4,0,1,1,1,-1,20,80,4,2,4,-1,-1,0,3
217,2,,2,4,-1,8,4,0,1,2,-1,-1,-1,-1,-1,-1,4,-1,-1,0,4
218,1,,1,6,-1,5,1,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,7
218,2,,2,6,-1,4,2,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,7
220,1,,1,8,-1,8,1,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,7
220,2,,2,8,-1,4,2,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,7
220,3,,2,8,-1,7,2,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,5
223,1,,1,2,-1,8,1,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,5
223,2,,2,6,-1,6,1,0,1,1,1,-1,36,150,2,2,4,-1,-1,0,4
224,1,,2,7,"Asian, White",6,1,2,1,1,1,-1,43,172,4,2,4,-1,-1,0,4
224,2,,1,6,-1,6,3,8,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,4
225,1,,1,6,-1,8,1,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,7
225,2,,2,6,-1,7,1,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,6
226,1,,2,4,-1,3,1,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,2
226,2,,1,4,-1,4,1,0,1,2,-1,-1,-1,-1,-1,-1,4,-1,-1,0,3
229,1,,1,6,-1,6,1,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,7
229,2,,2,6,-1,2,1,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,7
230,1,,1,4,-1,4,1,0,1,2,-1,-1,-1,-1,-1,-1,4,-1,-1,0,4
230,2,,2,4,-1,1,1,3,2,2,-1,-1,-1,-1,-1,-1,4,-1,-1,0,4
232,1,,1,6,-1,5,2,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,7
232,2,,2,6,-1,6,2,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,6
233,1,,1,6,-1,5,1,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,8
234,1,,1,6,-1,4,1,0,1,1,1,-1,7,70,5,1,4,-1,-1,0,6
234,2,,2,2,-1,6,1,0,1,1,1,-1,4,40,5,1,4,-1,-1,0,7
236,1,,1,6,-1,8,2,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,8
236,2,,2,6,-1,8,1,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,8
238,1,,2,6,-1,4,1,0,5,2,-1,-1,-1,-1,-1,-1,4,-1,-1,0,6
239,1,,1,6,-1,8,1,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,1,7
239,2,,2,6,-1,8,1,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,1,7
240,1,,1,6,-1,6,1,0,1,1,1,-1,4,250,5,2,4,-1,-1,0,6
240,2,,2,4,-1,6,1,0,2,1,1,-1,12,60,4,2,4,-1,-1,0,6
240,3,,2,4,-1,5,3,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,3
240,4,,2,6,-1,2,5,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,3
241,1,,1,4,-1,5,1,0,4,-1,-1,-1,-1,-1,-1,-1,1,1,35,0,3
241,2,,1,4,-1,2,4,0,1,1,2,-1,7,70,5,3,4,-1,-1,0,3
241,3,,2,4,-1,3,1,0,1,1,1,-1,16,96,3,2,4,-1,-1,0,5
241,4,,1,4,-1,2,1,0,1,1,1,-1,6,250,5,2,4,-1,-1,0,5
242,1,,1,2,-1,8,1,0,1,1,1,-1,10,40,4,2,4,-1,-1,0,5
242,2,,2,6,-1,8,1,0,1,1,1,-1,15,75,5,2,4,-1,-1,0,5
242,3,,1,7,mixed,4,2,5,2,1,7,-1,1,0,3,3,1,7,1,0,2
242,4,,2,7,mixed,1,1,0,2,1,1,-1,5,20,3,2,4,-1,-1,0,2
243,1,,1,6,-1,8,1,0,1,1,1,-1,14,140,5,1,4,-1,-1,0,3
243,2,,2,6,-1,6,2,0,5,2,-1,-1,-1,-1,-1,-1,4,-1,-1,0,3
245,1,,1,6,-1,6,1,0,5,1,1,-1,1,10,5,2,4,-1,-1,0,7
245,2,,2,6,-1,6,4,4,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,7
246,1,,1,2,-1,8,1,0,1,1,1,-1,25,250,5,2,4,-1,-1,0,3
246,2,,2,2,-1,8,3,13,1,1,2,-1,13,0,5,1,1,2,13,0,3
247,1,,1,4,-1,6,1,0,5,1,2,-1,30,220,4,2,4,-1,-1,0,6
247,2,,2,4,-1,5,1,0,1,1,1,-1,5,50,5,2,4,-1,-1,0,6
247,3,,2,4,-1,6,1,0,1,1,1,-1,20,200,5,2,4,-1,-1,0,3
247,4,,2,4,-1,6,1,0,1,1,1,-1,20,200,5,2,4,-1,-1,0,3
247,5,,2,4,-1,1,5,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,2
249,1,,1,6,-1,7,1,0,5,2,-1,-1,-1,-1,-1,-1,4,-1,-1,0,7
249,2,,2,4,-1,5,1,0,5,2,-1,-1,-1,-1,-1,-1,4,-1,-1,0,6
250,1,,2,6,-1,6,1,2,3,1,1,-1,15,150,5,2,4,-1,-1,0,6
251,1,,2,2,-1,8,1,8,1,1,3,-1,20,40,5,2,4,-1,-1,0,5
251,2,,1,4,-1,6,1,0,1,1,2,-1,5,50,5,2,4,-1,-1,0,5
253,1,,1,8,-1,8,2,0,1,1,7,-1,1,0,5,3,4,-1,-1,0,4
253,2,,2,8,-1,7,2,0,2,1,1,-1,35,140,2,2,4,-1,-1,0,4
254,1,,2,6,-1,4,1,0,5,1,1,-1,25,200,4,2,4,-1,-1,0,6
254,2,,1,8,-1,6,1,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,7
256,1,,2,6,-1,6,1,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,7
257,1,,1,5,-1,6,1,0,1,1,1,-1,10,45,5,2,4,-1,-1,0,4
257,2,,2,5,-1,6,4,0,1,1,2,-1,10,45,5,2,4,-1,-1,0,4
257,3,,2,5,-1,6,4,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,6
258,1,,1,4,-1,7,1,0,1,1,1,-1,15,150,5,2,3,-1,-1,0,2
258,2,,2,4,-1,6,1,0,1,1,1,-1,3,30,5,2,4,-1,-1,0,6
258,3,,1,4,-1,1,1,0,1,1,1,-1,6,60,5,2,4,-1,-1,0,6
262,1,,2,6,-1,8,1,0,2,1,1,-1,4,24,3,2,4,-1,-1,0,6
262,2,,1,6,-1,8,1,0,2,2,-1,-1,-1,-1,-1,-1,4,-1,-1,0,6
262,3,,1,6,-1,4,1,0,2,1,1,-1,1,10,3,2,1,1,1,0,2
265,1,,2,6,-1,8,1,0,1,1,1,-1,13,150,5,2,4,-1,-1,0,6
265,2,,1,3,-1,5,2,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,6
267,1,,1,6,-1,8,1,0,1,1,1,-1,7,45,5,2,4,-1,-1,1,3
267,2,,2,6,-1,7,3,14,1,1,3,-1,7,45,5,3,2,3,20,1,3
268,1,,1,6,-1,6,1,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,6
268,2,,2,6,-1,6,1,0,1,1,1,-1,35,350,5,2,4,-1,-1,0,6
270,1,,1,6,-1,8,3,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,7
270,2,,2,6,-1,3,1,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,7
271,1,,2,4,-1,7,1,0,2,1,1,-1,25,130,4,2,4,-1,-1,0,6
271,2,,1,6,-1,6,2,0,1,2,-1,-1,-1,-1,-1,-1,4,-1,-1,0,6
271,3,,1,6,-1,4,1,2,2,1,1,-1,20,60,3,2,4,-1,-1,0,2
271,4,,2,4,-1,5,1,0,1,1,1,-1,25,125,4,2,4,-1,-1,0,6
271,5,,1,6,-1,2,1,0,1,1,1,-1,30,200,5,2,4,-1,-1,0,5
272,1,,2,6,-1,5,2,2,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,5
272,2,,1,6,-1,7,2,10,1,1,4,-1,1,120,3,1,4,-1,-1,0,6
273,1,,2,4,-1,4,1,0,2,2,-1,-1,-1,-1,-1,-1,4,-1,-1,0,5
273,2,,1,4,-1,3,1,0,1,1,1,-1,5,40,4,2,4,-1,-1,0,5
274,1,,2,6,-1,6,2,3,1,1,4,-1,2,10,5,1,4,-1,-1,0,6
275,1,,1,6,-1,8,1,0,1,1,1,-1,21,42,1,2,4,-1,-1,1,7
275,2,,2,6,-1,8,1,0,1,1,1,-1,5,50,5,2,4,-1,-1,1,6
275,3,,1,6,-1,2,2,2,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,1,2
276,1,,1,6,-1,7,1,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,7
277,1,,1,6,-1,8,1,0,5,1,1,-1,5,50,4,2,4,-1,-1,0,7
277,2,,2,6,-1,6,1,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,7
281,1,,1,2,-1,6,1,1,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,7
281,2,,2,2,-1,2,2,1,5,1,2,-1,6,72,6,2,4,-1,-1,0,6
282,1,,1,6,-1,4,1,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,8
282,2,,1,6,-1,6,1,0,1,1,1,-1,3,30,5,2,4,-1,-1,0,3
284,1,,1,6,-1,2,2,4,1,1,4,-1,35,0,5,3,4,-1,-1,0,5
284,2,,1,7,MEXICAN & FILIPINO,8,4,2,1,1,5,-1,35,0,5,3,4,-1,-1,0,5
286,1,,1,6,-1,6,1,0,1,1,1,-1,5,50,5,2,4,-1,-1,0,2
286,2,,2,6,-1,7,1,0,2,1,1,-1,25,150,3,2,2,1,45,0,2
286,3,,1,6,-1,6,1,0,1,1,1,-1,6,60,5,2,4,-1,-1,0,3
286,4,,1,6,-1,4,1,0,1,1,1,-1,6,60,5,2,4,-1,-1,0,3
289,1,,1,6,-1,5,1,0,2,1,1,-1,15,150,5,2,4,-1,-1,0,2
289,2,,2,6,-1,2,1,0,1,1,1,-1,20,100,5,2,4,-1,-1,0,2
289,3,,1,6,-1,1,1,0,5,1,1,-1,25,125,5,2,3,-1,-1,0,2
290,1,,2,2,-1,5,1,7,2,1,1,-1,4,50,4,2,4,-1,-1,0,6
291,1,,1,6,-1,6,1,0,1,1,1,-1,23,0,5,2,4,-1,-1,0,6
291,2,,2,6,-1,8,1,0,1,1,1,-1,8,0,5,2,4,-1,-1,0,6
292,1,,2,6,-1,5,1,0,2,1,1,-1,3,30,5,2,3,-1,-1,0,5
292,2,,1,6,-1,6,2,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,6
295,1,,2,4,-1,5,1,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,3
295,2,,1,1,-1,1,1,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,2
295,3,,1,6,-1,4,1,0,1,1,1,-1,200,740,2,2,4,-1,-1,0,5
296,1,,1,6,-1,3,1,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,5
296,2,,1,4,-1,2,2,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,7
297,1,,1,6,-1,3,1,0,1,2,-1,-1,-1,-1,-1,-1,4,-1,-1,0,7
297,2,,2,6,-1,4,1,0,2,1,1,-1,30,300,5,2,4,-1,-1,0,7
299,1,,1,6,-1,5,1,0,1,1,1,-1,14,85,5,2,4,-1,-1,0,6
299,2,,2,2,-1,5,1,0,2,1,1,-1,16,80,5,2,4,-1,-1,0,5
300,1,,1,6,-1,7,1,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,6
302,1,,1,6,-1,8,1,0,1,1,1,-1,5,0,4,2,4,-1,-1,0,3
302,2,,2,6,-1,8,2,10,1,1,4,-1,12,0,5,3,4,-1,-1,0,3
303,1,,1,4,-1,5,1,1,1,1,1,-1,50,200,4,3,4,-1,-1,0,3
303,2,,2,6,-1,4,1,2,1,1,1,-1,20,80,4,2,4,-1,-1,0,4
303,3,,2,6,-1,1,4,1,2,1,2,-1,30,60,1,1,4,-1,-1,0,2
304,1,,2,6,-1,4,1,0,1,2,-1,-1,-1,-1,-1,-1,4,-1,-1,0,6
305,1,,1,6,-1,8,1,0,1,1,1,-1,30,300,5,2,4,-1,-1,1,5
305,2,,2,4,-1,8,1,0,1,1,1,-1,10,100,5,2,4,-1,-1,1,5
307,1,,2,6,-1,6,1,0,2,1,1,-1,40,320,4,2,4,-1,-1,0,5
307,2,,1,6,-1,6,1,0,1,1,1,-1,2,20,5,2,4,-1,-1,0,6
308,1,,2,6,-1,4,2,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,4
308,2,,1,6,-1,2,1,0,1,1,1,-1,30,120,5,2,4,-1,-1,0,4
309,1,,1,6,-1,8,1,0,1,1,1,-1,12,120,5,1,4,-1,-1,0,4
309,2,,2,2,-1,8,2,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,4
310,1,,1,6,-1,4,4,0,1,1,1,-1,10,50,5,2,4,-1,-1,0,6
310,2,,2,6,-1,4,1,0,1,1,1,-1,3,15,5,2,4,-1,-1,0,6
312,1,,1,4,-1,8,2,0,1,1,1,-1,10,60,3,2,4,-1,-1,0,3
314,1,,2,4,-1,4,1,0,4,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,0,3
314,2,,1,3,-1,2,1,8,1,1,1,-1,20,100,5,2,4,-1,-1,0,4
314,3,,2,6,-1,2,5,6,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,6
315,1,,2,2,-1,6,1,0,1,1,1,-1,14,70,5,2,4,-1,-1,0,4
315,2,,2,2,-1,6,1,0,1,1,1,-1,3,15,5,2,4,-1,-1,0,4
318,1,,1,7,HUMAN,4,4,0,1,1,1,-1,50,100,1,2,4,-1,-1,0,7
318,2,,2,7,HUMAN,5,1,0,5,1,1,-1,25,250,5,2,4,-1,-1,0,6
320,1,,1,6,-1,7,2,4,5,2,-1,-1,-1,-1,-1,-1,4,-1,-1,0,5
321,1,,1,6,-1,8,1,0,1,1,1,-1,50,500,5,2,4,-1,-1,0,2
321,2,,2,6,-1,7,1,0,2,1,1,-1,15,60,2,2,2,1,60,0,2
325,1,,1,4,-1,8,1,0,1,1,1,-1,9,108,7,2,4,-1,-1,1,5
325,2,,2,6,-1,7,1,0,1,1,1,-1,12,120,5,2,4,-1,-1,1,5
326,1,,1,2,-1,6,1,0,1,1,1,-1,39,275,4,1,4,-1,-1,0,5
326,2,,2,2,-1,2,1,0,1,1,1,-1,31,155,5,2,4,-1,-1,0,5
326,3,,2,2,-1,1,4,2,2,1,4,-1,32,0,3,3,4,-1,-1,0,5
327,1,,1,6,-1,6,1,0,4,-1,-1,-1,-1,-1,-1,-1,1,2,25,0,4
327,2,,2,6,-1,6,1,0,1,1,1,-1,35,210,3,2,4,-1,-1,0,3
328,1,,2,6,-1,6,1,0,2,1,1,-1,40,240,3,2,4,-1,-1,0,3
328,2,,2,6,-1,7,1,0,1,1,1,-1,5,40,4,2,4,-1,-1,0,5
330,1,,1,6,-1,8,1,0,1,1,1,-1,28,280,5,3,4,-1,-1,0,5
330,2,,2,2,-1,6,1,0,2,1,1,-1,15,75,3,1,4,-1,-1,0,5
330,3,,2,6,-1,5,1,0,2,1,1,-1,10,50,3,2,1,1,10,0,2
331,1,,2,6,-1,8,1,0,1,1,1,-1,10,100,5,2,4,-1,-1,0,6
332,1,,1,4,-1,5,1,0,1,1,1,-1,5,40,5,2,4,-1,-1,0,3
334,1,,1,6,-1,2,1,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,8
336,1,,1,6,-1,8,2,0,5,2,-1,-1,-1,-1,-1,-1,4,-1,-1,0,7
336,2,,2,6,-1,4,2,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,7
337,1,,2,6,-1,7,1,1,1,1,1,-1,20,200,5,1,4,-1,-1,0,5
337,2,,1,5,-1,6,1,0,1,1,1,-1,20,200,5,2,4,-1,-1,0,5
338,1,,1,4,-1,6,1,0,1,1,1,-1,8,80,5,1,4,-1,-1,0,2
338,2,,2,8,-1,4,2,0,4,-1,-1,-1,-1,-1,-1,-1,2,1,10,0,2
338,3,,2,6,-1,4,1,0,2,2,-1,-1,-1,-1,-1,-1,2,1,30,0,2
340,1,,2,6,-1,7,1,0,1,2,-1,-1,-1,-1,-1,-1,4,-1,-1,0,6
341,1,,1,4,-1,4,1,0,1,2,-1,-1,-1,-1,-1,-1,4,-1,-1,0,2
341,2,,2,7,White/Hispanic,4,2,0,1,2,-1,-1,-1,-1,-1,-1,4,-1,-1,0,2
341,3,,2,4,-1,1,4,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,5
341,4,,2,4,-1,4,1,0,2,2,-1,-1,-1,-1,-1,-1,4,-1,-1,0,2
341,5,,1,4,-1,1,4,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,2
342,1,,2,1,-1,5,1,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,5
342,2,,1,1,-1,5,2,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,2
343,1,,1,6,-1,8,1,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,7
343,2,,2,6,-1,8,1,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,7
344,1,,1,6,-1,6,1,0,1,1,1,-1,16,160,5,2,4,-1,-1,0,5
344,2,,2,2,-1,8,1,0,1,1,1,-1,7,70,5,2,4,-1,-1,0,5
345,1,,1,6,-1,6,1,1,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,6
347,1,,2,6,-1,8,1,0,1,1,1,-1,7,42,3,2,4,-1,-1,0,6
347,2,,1,6,-1,8,1,0,1,1,1,-1,7,56,4,2,4,-1,-1,0,6
348,1,,2,3,-1,5,1,0,1,1,1,-1,5,50,5,2,4,-1,-1,0,6
352,1,,2,4,-1,2,1,0,1,2,-1,-1,-1,-1,-1,-1,4,-1,-1,0,5
352,2,,1,4,-1,4,1,0,1,2,-1,-1,-1,-1,-1,-1,4,-1,-1,0,6
352,3,,1,4,-1,5,2,0,2,2,-1,-1,-1,-1,-1,-1,2,2,64,0,2
352,4,,2,4,-1,1,5,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,2
357,1,,1,2,-1,7,1,0,1,1,1,-1,5,50,5,2,4,-1,-1,0,4
357,2,,2,2,-1,6,2,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,4
358,1,,2,6,-1,6,1,0,1,1,1,-1,6,54,4,2,4,-1,-1,0,2
358,2,,1,6,-1,6,2,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,2
360,1,,1,6,-1,6,2,2,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,5
360,2,,2,1,-1,6,2,10,1,1,3,-1,10,0,5,3,4,-1,-1,0,5
362,1,,2,6,-1,8,1,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,3
362,2,,1,4,-1,6,1,0,1,1,1,-1,35,350,5,2,4,-1,-1,0,3
363,1,,1,6,-1,7,1,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,7
363,2,,2,2,-1,7,2,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,7
364,1,,1,4,-1,2,1,5,1,1,2,-1,50,500,5,2,4,-1,-1,0,4
364,2,,2,4,-1,7,1,0,4,-1,-1,-1,-1,-1,-1,-1,1,1,40,0,4
366,1,,1,6,-1,6,1,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,8
367,1,,1,2,-1,6,1,0,1,1,1,-1,32,32,4,2,4,-1,-1,0,6
367,2,,2,2,-1,6,2,0,5,2,-1,-1,-1,-1,-1,-1,4,-1,-1,0,6
367,3,,4,2,-1,8,2,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,3
367,4,,4,2,-1,6,1,0,1,1,1,-1,10,10,5,2,4,-1,-1,0,3
369,1,,1,6,-1,8,1,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,6
369,2,,2,2,-1,8,1,0,1,1,1,-1,10,50,5,2,4,-1,-1,0,5
369,3,,2,6,-1,4,2,0,4,-1,-1,-1,-1,-1,-1,-1,1,1,15,0,2
369,4,,1,6,-1,2,3,0,4,-1,-1,-1,-1,-1,-1,-1,1,9,0,0,2
