sampno,sequence,age,gender,ethnicity,ethnic_oth,education,drivingfreq,transitfreq,employment,commutework,worktransport,worktransport_oth,commutedist,weeklycommute,workdays,workvehicle,enrolled,schooltransport,schoolcommute,pevowner,age_nrel_agebin
5083,1,,1,6,-1,8,1,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,7
5083,2,,2,6,-1,4,1,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,7
5084,1,,2,6,-1,6,2,2,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,3
5084,2,,1,6,-1,4,1,6,1,1,1,-1,7,70,5,2,2,1,4,0,3
5085,1,,2,6,-1,8,1,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,7
5085,2,,2,6,-1,4,1,0,2,1,1,-1,5,20,4,1,4,-1,-1,0,6
5086,1,,1,4,-1,8,1,0,1,1,1,-1,20,200,5,2,4,-1,-1,0,6
5086,2,,2,4,-1,6,1,0,1,1,3,-1,25,50,5,1,4,-1,-1,0,6
5086,3,,1,4,-1,1,4,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,2
5087,1,,2,2,-1,6,1,12,1,1,1,-1,5,50,5,2,4,-1,-1,0,4
5088,1,,2,6,-1,3,1,0,1,1,1,-1,13,130,5,2,4,-1,-1,0,3
5088,2,,1,4,-1,4,2,0,4,-1,-1,-1,-1,-1,-1,-1,1,1,1,0,3
5089,1,,2,6,-1,5,1,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,6
5089,2,,1,6,-1,8,1,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,6
5090,1,,2,6,-1,8,1,0,1,1,1,-1,5,40,4,2,4,-1,-1,0,3
5091,1,,2,6,-1,6,2,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,6
5091,2,,1,6,-1,7,1,0,1,1,1,-1,18,216,6,2,4,-1,-1,0,3
5091,3,,1,6,-1,6,1,0,1,1,1,-1,18,180,5,2,3,-1,-1,0,3
5094,1,,1,4,-1,2,1,0,1,1,1,-1,20,80,1,2,4,-1,-1,0,5
5094,2,,2,3,-1,4,2,15,1,2,-1,-1,-1,-1,-1,-1,4,-1,-1,0,5
5095,1,,1,6,-1,6,1,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,8
5095,2,,2,6,-1,4,1,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,6
5096,1,,2,6,-1,2,3,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,6
5096,2,,1,6,-1,4,1,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,6
5098,1,,1,6,-1,8,1,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,7
5098,2,,2,6,-1,8,3,2,2,1,3,-1,50,4,1,1,4,-1,-1,0,6
5099,1,,2,4,-1,3,1,2,2,1,1,-1,3,31,5,2,4,-1,-1,0,3
5099,2,,1,4,-1,6,2,4,4,-1,-1,-1,-1,-1,-1,-1,1,1,80,0,3
5101,1,,1,2,-1,6,1,0,1,1,1,-1,1,5,5,2,4,-1,-1,0,4
5101,2,,1,2,-1,6,3,0,1,2,-1,-1,-1,-1,-1,-1,4,-1,-1,0,5
5101,3,,2,2,-1,4,3,0,1,2,-1,-1,-1,-1,-1,-1,4,-1,-1,0,4
5102,1,,1,2,-1,8,3,1,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,7
5102,2,,2,2,-1,2,2,1,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,7
5103,1,,1,6,-1,8,2,0,2,1,5,-1,0,0,5,3,2,5,0,0,3
5103,2,,2,6,-1,7,1,0,2,1,1,-1,1,5,5,2,4,-1,-1,0,3
5104,1,,2,2,-1,2,1,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,2
5104,2,,1,4,-1,6,1,0,1,1,1,-1,15,150,5,2,4,-1,-1,0,3
5110,1,,1,6,-1,5,1,0,1,1,1,-1,200,1000,5,1,4,-1,-1,0,3
5110,2,,2,6,-1,5,4,0,5,2,-1,-1,-1,-1,-1,-1,4,-1,-1,0,2
5111,1,,2,6,-1,8,1,0,1,1,1,-1,5,50,5,2,4,-1,-1,0,3
5113,1,,2,4,-1,2,1,4,2,1,1,-1,10,50,5,2,4,-1,-1,0,3
5113,2,,1,4,-1,2,1,4,2,1,2,-1,20,100,3,1,4,-1,-1,0,3
5116,1,,2,2,-1,6,1,0,1,1,1,-1,5,50,5,2,4,-1,-1,0,3
5116,2,,1,2,-1,6,1,0,1,1,1,-1,8,40,5,2,4,-1,-1,0,3
5117,1,,1,6,-1,7,1,0,1,1,1,-1,8,100,5,2,4,-1,-1,0,5
5117,2,,2,4,-1,2,1,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,5
5117,3,,1,6,-1,1,1,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,2
5118,1,,2,6,-1,3,1,0,1,1,1,-1,5,50,5,2,4,-1,-1,0,4
5118,2,,1,6,-1,2,1,0,5,2,-1,-1,-1,-1,-1,-1,4,-1,-1,0,4
5121,1,,1,6,-1,6,1,5,1,1,1,-1,20,100,5,2,4,-1,-1,0,3
5121,2,,2,6,-1,5,2,3,3,1,4,-1,20,50,2,1,4,-1,-1,0,3
5122,1,,2,2,-1,6,1,0,4,-1,-1,-1,-1,-1,-1,-1,1,1,10,0,3
5123,1,,1,6,-1,6,1,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,6
5123,2,,2,6,-1,6,1,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,6
5124,1,,2,6,-1,6,1,2,1,1,1,-1,3,7,5,1,4,-1,-1,0,3
5124,2,,1,6,-1,5,1,1,1,1,1,-1,2,5,5,2,4,-1,-1,0,4
5125,1,,2,6,-1,4,1,0,1,1,2,-1,10,100,5,2,4,-1,-1,0,3
5125,2,,1,5,-1,4,1,0,1,1,2,-1,10,100,5,2,4,-1,-1,0,3
5127,1,,2,4,-1,2,2,4,2,2,-1,-1,-1,-1,-1,-1,4,-1,-1,0,4
5127,2,,1,4,-1,7,5,2,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,2
5131,1,,1,6,-1,4,2,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,7
5135,1,,2,6,-1,8,1,0,1,1,1,-1,12,125,5,2,2,1,30,0,3
5136,1,,2,6,-1,5,1,0,1,1,1,-1,2,10,5,2,4,-1,-1,0,5
5136,2,,1,6,-1,1,1,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,5
5138,1,,1,2,-1,6,1,0,1,1,1,-1,12,125,5,2,4,-1,-1,0,3
5138,2,,2,2,-1,8,1,0,1,1,1,-1,5,25,5,2,4,-1,-1,0,4
5138,3,,2,2,-1,8,1,0,1,1,1,-1,10,100,5,2,4,-1,-1,0,4
5138,4,,2,2,-1,1,5,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,7
5139,1,,2,2,-1,6,1,0,1,1,1,-1,15,150,5,2,4,-1,-1,0,3
5139,2,,1,2,-1,6,1,0,4,-1,-1,-1,-1,-1,-1,-1,2,1,20,0,2
5139,3,,1,2,-1,6,1,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,5
5139,4,,2,2,-1,6,1,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,5
5142,1,,1,4,-1,4,1,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,6
5142,2,,2,6,-1,7,1,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,7
5143,1,,2,6,-1,6,3,10,5,2,-1,-1,-1,-1,-1,-1,4,-1,-1,0,3
5143,2,,1,6,-1,6,1,1,1,1,1,-1,30,150,5,2,4,-1,-1,0,3
5143,3,,2,6,-1,5,1,0,1,1,1,-1,5,25,5,2,3,-1,-1,0,3
5148,1,,2,6,-1,6,1,8,2,1,3,-1,7,1,3,1,4,-1,-1,0,3
5149,1,,2,4,-1,2,2,0,2,1,2,-1,20,120,5,2,2,2,20,0,2
5149,2,,2,6,-1,4,1,0,1,1,1,-1,15,200,6,2,4,-1,-1,0,4
5149,3,,1,4,-1,2,1,0,2,1,1,-1,20,150,4,2,2,1,20,0,2
5149,4,,1,4,-1,2,1,0,1,1,1,-1,25,150,4,2,4,-1,-1,0,5
5150,1,,2,2,-1,4,1,0,4,-1,-1,-1,-1,-1,-1,-1,1,1,20,0,2
5150,2,,1,6,-1,4,1,0,4,-1,-1,-1,-1,-1,-1,-1,1,1,20,0,2
5150,3,,2,2,-1,6,1,0,1,1,1,-1,30,300,6,2,4,-1,-1,0,6
5150,4,,1,2,-1,6,1,0,2,1,1,-1,20,200,4,1,4,-1,-1,0,6
5152,1,,1,6,-1,8,1,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,7
5152,2,,2,6,-1,6,1,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,6
5156,1,,1,6,-1,5,1,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,6
5156,2,,2,6,-1,5,1,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,6
5158,1,,1,6,-1,6,1,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,7
5158,2,,2,4,-1,1,4,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,7
5160,1,,2,2,-1,6,2,0,1,2,-1,-1,-1,-1,-1,-1,4,-1,-1,0,3
5160,2,,1,2,-1,7,1,0,1,2,-1,-1,-1,-1,-1,-1,4,-1,-1,0,3
5164,1,,2,3,-1,5,1,2,3,1,1,-1,10,50,5,2,4,-1,-1,0,3
5164,2,,1,3,-1,1,1,1,4,-1,-1,-1,-1,-1,-1,-1,1,1,5,0,2
5167,1,,2,8,-1,6,2,10,1,1,2,-1,20,0,5,3,4,-1,-1,0,3
5168,1,,2,6,-1,8,1,2,1,1,1,-1,3,30,5,2,4,-1,-1,0,3
5168,2,,1,6,-1,6,1,2,1,1,1,-1,35,350,5,2,4,-1,-1,0,3
5169,1,,1,2,-1,6,1,6,1,1,1,-1,50,200,5,2,4,-1,-1,0,3
5169,2,,2,4,-1,6,1,8,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0,2
