sampno,sequence,choice,alt1_fuel,alt1_veh,alt1_year,a1_incentive,a1_fuelavail,a1_fuelavail_loc,alt1_range,alt1_veh_model,alt1_annmain,alt1_cpmile,alt1_mpge,alt1_accel,alt1_refueltime,alt1_trunk,alt1_price,alt2_fuel,alt2_veh,alt2_year,a2_incentive,a2_fuelavail,a2_fuelavail_loc,alt2_range,alt2_veh_model,alt2_annmain,alt2_cpmile,alt2_mpge,alt2_accel,alt2_refueltime,alt2_trunk,alt2_price,alt3_fuel,alt3_veh,alt3_year,a3_incentive,a3_fuelavail,a3_fuelavail_loc,alt3_range,alt3_veh_model,alt3_annmain,alt3_cpmile,alt3_mpge,alt3_accel,alt3_refueltime,alt3_trunk,alt3_price,alt4_fuel,alt4_veh,alt4_year,a4_incentive,a4_fuelavail,a4_fuelavail_loc,alt4_range,alt4_veh_model,alt4_annmain,alt4_cpmile,alt4_mpge,alt4_accel,alt4_refueltime,alt4_trunk,alt4_price
126,8,1,5,9,2016,0,5,1,578,2,606.25,21.2,22.0,5.3,3,16.0,69600,4,9,2016,0,7,1,356,21,534.0,14.2,15.0,5.3,2,16.0,68200,2,7,2014,0,5,1,735,3,501.0,9.33,35.0,6.6,1,18.0,35100,5,12,2013,0,3,1,360,2,387.0,23.33,20.0,9.9,1,33.0,32100
127,1,1,1,11,2016,0,5,1,570,18,675.0,24.25,24.0,5.4,2,13.0,27900,1,5,2016,0,3,1,363,174,639.0,26.45,22.0,3.5,2,10.0,29200,6,11,2016,0,5,1,578,2,567.0,22.21,21.0,6.1,1,12.0,52200,4,13,2013,0,3,1,330,11,700.0,17.75,12.0,8.7,4,99.0,17600
127,2,1,1,11,2016,0,5,1,551,23,675.0,20.79,21.0,5.4,1,17.0,32100,2,10,2016,0,3,1,525,4,405.0,17.46,25.0,10.7,4,15.0,23100,1,11,2016,0,3,1,468,23,594.0,25.68,17.0,5.4,1,16.0,36000,9,1,2014,0,5,1,100,5,347.0,8.94,125.0,7.0,12,7.0,23200
127,3,1,1,11,2016,0,10,1,315,18,675.0,41.57,14.0,5.4,1,17.0,36000,10,11,2016,3,10,1,300,1,486.0,56.79,53.0,9.0,16,8.0,55800,5,8,2016,0,5,1,535,3,405.0,18.85,33.0,5.3,3,38.0,51200,3,9,2016,6,20,1,963,4,364.0,22.74,35.0,8.9,7,16.0,58300
127,4,1,1,11,2016,0,5,1,446,18,405.0,17.12,17.0,9.4,3,14.0,36000,5,6,2016,0,3,1,458,1,468.0,14.55,26.0,10.5,2,16.0,23900,3,8,2016,7,15,1,701,4,338.0,5.82,41.0,4.9,6,30.0,59700,1,11,2014,0,3,1,518,34,486.0,12.65,23.0,5.4,4,13.0,18200
127,5,1,1,11,2016,0,5,1,660,34,405.0,24.25,24.0,9.4,2,13.0,27900,3,7,2016,0,10,1,817,1,600.0,9.26,43.0,5.4,7,15.0,43300,1,12,2016,0,5,1,551,10,323.0,20.07,29.0,5.9,1,33.0,37100,9,11,2016,4,0,2,100,4,534.0,14.52,77.0,5.0,12,10.0,63000
127,6,1,1,11,2016,0,7,1,385,29,675.0,41.57,14.0,9.4,4,14.0,24000,4,11,2016,0,3,1,289,28,594.0,29.05,11.0,9.4,1,14.0,37800,2,5,2014,0,3,1,627,1,743.0,15.32,38.0,8.1,4,11.0,32800,1,10,2013,0,3,1,396,15,517.0,26.45,22.0,9.9,2,13.0,18300
127,7,1,1,11,2016,0,5,1,468,18,486.0,17.12,17.0,5.4,1,13.0,36000,7,11,2014,0,20,1,200,4,486.0,9.57,18.0,9.4,14,8.0,31700,4,9,2016,0,5,1,261,21,606.0,38.73,11.0,9.3,1,21.0,43700,1,2,2016,0,7,1,494,219,383.0,7.28,40.0,6.5,2,17.0,24900
127,8,3,1,11,2016,0,7,1,404,34,486.0,17.12,17.0,9.4,2,17.0,36000,3,9,2015,0,15,1,550,4,364.0,11.94,20.0,4.9,6,13.0,41600,1,11,2016,0,3,1,315,23,594.0,20.79,14.0,5.4,1,16.0,36000,9,12,2016,3,0,2,100,2,347.0,8.34,67.0,5.5,11,23.0,43300
128,5,2,2,2,2014,0,7,1,715,8,445.5,5.82,50.0,7.4,3,11.0,14400,1,10,2016,0,5,1,567,17,423.0,10.78,27.0,5.9,3,13.0,28300,5,4,2014,0,5,1,599,1,419.0,10.81,35.0,5.0,4,19.0,36000,2,1,2014,0,5,1,436,6,304.0,6.61,44.0,12.5,3,8.0,19000
